gene	conMean	treatMean	logFC	pValue	fdr
HMGA2	0.248583100615672	0.787887595500429	1.66426160010704	0.00971088311773507	0.010432586287562
SLC25A13	3.41184832202287	5.80525060769853	0.766804837072472	1.81738313373926e-53	2.83974606264089e-52
ANP32A	12.4734465126141	10.0294843983924	-0.314612707434811	2.78722868631944e-21	4.34318329094594e-21
DCAF10	3.27141372947573	3.02138389933919	-0.114704720215252	1.88199825088055e-06	2.20785317499278e-06
ZBTB7B	7.86402445282513	10.8456027215204	0.463770517182803	1.49163729177626e-18	2.20243264267246e-18
DOCK6	7.25652569335315	4.31902527597354	-0.74857321500355	4.53814856125061e-42	1.24441005019239e-41
CASC9	0.0903158635524167	1.11051220576316	3.62010202707432	4.70462662838174e-11	6.06226014833779e-11
AC005041.3	0.275221559532471	0.920934921182911	1.74250572213069	2.39056107739589e-34	5.01973683762992e-34
EOLA2	9.38832562809507	4.44665543227719	-1.07814726593552	3.61715378289542e-51	2.25558290876727e-50
UBOX5	1.64440452422971	2.45621225879763	0.578869993361743	2.01884577184323e-35	4.37359922620414e-35
AC040160.1	0.213195374146293	0.301255868180919	0.498813208716083	2.18968206441705e-11	2.83926277565898e-11
AP2B1	8.1297694825286	21.8061278250261	1.42344725858175	4.9998161743127e-56	5.0663978847528e-54
KIAA0355	3.71487259483211	3.92078642170444	0.0778303226077308	0.184324588793557	0.189480715549182
KCP	0.185006506827826	1.83709083249291	3.31177504284172	1.52480995633036e-38	3.63980583045203e-38
TACR2	0.153931313829139	1.04613505145711	2.76471045905566	1.60143069260101e-21	2.50609211367355e-21
ZNFX1	2.33990057256573	7.43618063329565	1.66811458750882	5.34127086477385e-55	2.08645941471481e-53
FAS	1.95672909699986	4.29597249175054	1.13454072220356	3.0572331426077e-43	8.89657452317842e-43
B3GNT5	1.59740352609918	2.80877839832319	0.814214002537113	1.24279166601862e-24	2.06785096827631e-24
LINC-PINT	2.78124850004609	1.55575872519673	-0.838114315560279	1.34649001050761e-30	2.55339114555126e-30
SRP9	21.3552048687555	35.9316720353546	0.750668332529894	1.1061114607403e-47	4.34484657261432e-47
